X,Y
6.335595,3.308643
6.242571,2.791793
5.578123,3.247660
6.407739,2.675550
6.800295,3.175796
7.21684,2.728966
6.511007,2.727319
4.606305,3.329458
7.655032,2.870956
5.502958,2.629246
6.630607,3.015023
3.45928,2.684784
8.203398,2.416935
4.956794,2.897763
5.370527,2.449548
5.697979,2.949771
6.273763,2.242560
5.052745,2.756922
6.885756,2.888453
4.187744,2.892835
5.975103,3.025919
6.094571,2.618680
5.723957,3.044542
4.372498,3.054882
6.292063,2.775739
5.14533,4.132257
6.587057,3.375083
5.787691,3.292551
6.727981,3.004398
6.640789,2.410688
6.232289,2.728509
6.217727,2.809946
5.781163,3.079878
6.624473,2.744537
5.195908,3.069729
5.871772,3.255177
5.895621,2.898440
5.617543,2.597507
5.631761,3.047587
5.502587,3.118691
6.482126,2.550851
7.302787,3.380160
6.991984,2.987067
4.825534,2.779617
6.117681,2.854757
0.940489,5.715568
